,id,latitude,longitude
296,9-17,50.05948,19.85704
297,9-18,50.056509999999996,19.85704
298,9-19,50.05354,19.85704
299,9-20,50.05057,19.85704
300,9-21,50.0476,19.85704
301,9-22,50.04463,19.85704
302,9-23,50.04166,19.85704
303,9-24,50.03869,19.85704
304,9-25,50.03572,19.85704
305,9-26,50.03275,19.85704
306,9-27,50.02978,19.85704
307,9-28,50.02681,19.85704
308,9-29,50.02384,19.85704
309,9-30,50.02087,19.85704
310,9-31,50.0179,19.85704
311,9-32,50.01493,19.85704
312,9-33,50.01196,19.85704
313,9-34,50.00899,19.85704
314,9-35,50.00602,19.85704
315,10-1,50.107,19.86167
316,10-2,50.10403,19.86167
317,10-3,50.10106,19.86167
318,10-4,50.09809,19.86167
319,10-5,50.09512,19.86167
320,10-6,50.09215,19.86167
321,10-7,50.08918,19.86167
322,10-8,50.08621,19.86167
323,10-9,50.083239999999996,19.86167
324,10-10,50.08027,19.86167
325,10-11,50.0773,19.86167
326,10-12,50.074329999999996,19.86167
327,10-13,50.07136,19.86167
328,10-14,50.06839,19.86167
329,10-15,50.065419999999996,19.86167
330,10-16,50.06245,19.86167
331,10-17,50.05948,19.86167
332,10-18,50.056509999999996,19.86167
333,10-19,50.05354,19.86167
334,10-20,50.05057,19.86167
335,10-21,50.0476,19.86167
336,10-22,50.04463,19.86167
337,10-23,50.04166,19.86167
338,10-24,50.03869,19.86167
339,10-25,50.03572,19.86167
340,10-26,50.03275,19.86167
341,10-27,50.02978,19.86167
342,10-28,50.02681,19.86167
343,10-29,50.02384,19.86167
344,10-30,50.02087,19.86167
345,10-31,50.0179,19.86167
346,10-32,50.01493,19.86167
347,10-33,50.01196,19.86167
348,10-34,50.00899,19.86167
349,10-35,50.00602,19.86167
350,11-1,50.107,19.8663
351,11-2,50.10403,19.8663
352,11-3,50.10106,19.8663
353,11-4,50.09809,19.8663
354,11-5,50.09512,19.8663
355,11-6,50.09215,19.8663
356,11-7,50.08918,19.8663
357,11-8,50.08621,19.8663
358,11-9,50.083239999999996,19.8663
359,11-10,50.08027,19.8663
360,11-11,50.0773,19.8663
361,11-12,50.074329999999996,19.8663
362,11-13,50.07136,19.8663
363,11-14,50.06839,19.8663
364,11-15,50.065419999999996,19.8663
365,11-16,50.06245,19.8663
366,11-17,50.05948,19.8663
367,11-18,50.056509999999996,19.8663
368,11-19,50.05354,19.8663
369,11-20,50.05057,19.8663
370,11-21,50.0476,19.8663
371,11-22,50.04463,19.8663
372,11-23,50.04166,19.8663
373,11-24,50.03869,19.8663
374,11-25,50.03572,19.8663
375,11-26,50.03275,19.8663
376,11-27,50.02978,19.8663
377,11-28,50.02681,19.8663
378,11-29,50.02384,19.8663
379,11-30,50.02087,19.8663
380,11-31,50.0179,19.8663
381,11-32,50.01493,19.8663
382,11-33,50.01196,19.8663
383,11-34,50.00899,19.8663
384,11-35,50.00602,19.8663
385,12-1,50.107,19.87093
386,12-2,50.10403,19.87093
387,12-3,50.10106,19.87093
388,12-4,50.09809,19.87093
389,12-5,50.09512,19.87093
390,12-6,50.09215,19.87093
391,12-7,50.08918,19.87093
392,12-8,50.08621,19.87093
393,12-9,50.083239999999996,19.87093
394,12-10,50.08027,19.87093
395,12-11,50.0773,19.87093
396,12-12,50.074329999999996,19.87093
397,12-13,50.07136,19.87093
398,12-14,50.06839,19.87093
399,12-15,50.065419999999996,19.87093
400,12-16,50.06245,19.87093
401,12-17,50.05948,19.87093
402,12-18,50.056509999999996,19.87093
403,12-19,50.05354,19.87093
404,12-20,50.05057,19.87093
405,12-21,50.0476,19.87093
406,12-22,50.04463,19.87093
407,12-23,50.04166,19.87093
408,12-24,50.03869,19.87093
409,12-25,50.03572,19.87093
410,12-26,50.03275,19.87093
411,12-27,50.02978,19.87093
412,12-28,50.02681,19.87093
413,12-29,50.02384,19.87093
414,12-30,50.02087,19.87093
415,12-31,50.0179,19.87093
416,12-32,50.01493,19.87093
417,12-33,50.01196,19.87093
418,12-34,50.00899,19.87093
419,12-35,50.00602,19.87093
420,13-1,50.107,19.87556
421,13-2,50.10403,19.87556
422,13-3,50.10106,19.87556
423,13-4,50.09809,19.87556
424,13-5,50.09512,19.87556
425,13-6,50.09215,19.87556
426,13-7,50.08918,19.87556
427,13-8,50.08621,19.87556
428,13-9,50.083239999999996,19.87556
429,13-10,50.08027,19.87556
430,13-11,50.0773,19.87556
431,13-12,50.074329999999996,19.87556
432,13-13,50.07136,19.87556
433,13-14,50.06839,19.87556
434,13-15,50.065419999999996,19.87556
435,13-16,50.06245,19.87556
436,13-17,50.05948,19.87556
437,13-18,50.056509999999996,19.87556
438,13-19,50.05354,19.87556
439,13-20,50.05057,19.87556
440,13-21,50.0476,19.87556
441,13-22,50.04463,19.87556
442,13-23,50.04166,19.87556
443,13-24,50.03869,19.87556
444,13-25,50.03572,19.87556
445,13-26,50.03275,19.87556
446,13-27,50.02978,19.87556
447,13-28,50.02681,19.87556
448,13-29,50.02384,19.87556
449,13-30,50.02087,19.87556
450,13-31,50.0179,19.87556
451,13-32,50.01493,19.87556
452,13-33,50.01196,19.87556
453,13-34,50.00899,19.87556
454,13-35,50.00602,19.87556
455,14-1,50.107,19.88019
456,14-2,50.10403,19.88019
457,14-3,50.10106,19.88019
458,14-4,50.09809,19.88019
459,14-5,50.09512,19.88019
460,14-6,50.09215,19.88019
461,14-7,50.08918,19.88019
462,14-8,50.08621,19.88019
463,14-9,50.083239999999996,19.88019
464,14-10,50.08027,19.88019
465,14-11,50.0773,19.88019
466,14-12,50.074329999999996,19.88019
467,14-13,50.07136,19.88019
468,14-14,50.06839,19.88019
469,14-15,50.065419999999996,19.88019
470,14-16,50.06245,19.88019
471,14-17,50.05948,19.88019
472,14-18,50.056509999999996,19.88019
473,14-19,50.05354,19.88019
474,14-20,50.05057,19.88019
